2021-04-27 09:45:14,493 INFO  [main] o.s.b.t.c.SpringBootTestContextBootstrapper.(): Neither @ContextConfiguration nor @ContextHierarchy found for test class [org.example.test.CircularReferenceTest], using SpringBootContextLoader
2021-04-27 09:45:14,563 INFO  [main] o.s.t.c.s.AbstractContextLoader.(): Could not detect default resource locations for test class [org.example.test.CircularReferenceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2021-04-27 09:45:14,575 INFO  [main] o.s.t.c.s.AnnotationConfigContextLoaderUtils.(): Could not detect default configuration classes for test class [org.example.test.CircularReferenceTest]: CircularReferenceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2021-04-27 09:45:15,013 INFO  [main] o.s.b.t.c.SpringBootTestContextBootstrapper.(): Found @SpringBootConfiguration org.example.Application for test class org.example.test.CircularReferenceTest
2021-04-27 09:45:15,222 INFO  [main] o.s.b.t.c.SpringBootTestContextBootstrapper.(): Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2021-04-27 09:45:15,291 INFO  [main] o.s.b.t.c.SpringBootTestContextBootstrapper.(): Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1b5bc39d, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@655a5d9c, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@1494b84d, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@34abdee4, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@71a9b4c7, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4628b1d3, org.springframework.test.context.event.EventPublishingTestExecutionListener@77cf3f8b, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1df98368, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@21ca139c, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@226f885f, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2cd2c8fe, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7d61eccf, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@cc6460c]
2021-04-27 09:45:16,180 INFO  [main] o.e.t.CircularReferenceTest.(): Starting CircularReferenceTest using Java 14.0.2 on DESKTOP-TNILKAA with PID 13168 (started by Admin in D:\Work\Learn\github\zd\tutorials-z\spring-source-demo)
2021-04-27 09:45:16,190 DEBUG [main] o.e.t.CircularReferenceTest.(): Running with Spring Boot v2.4.2, Spring v5.3.3
2021-04-27 09:45:16,194 INFO  [main] o.e.t.CircularReferenceTest.(): No active profile set, falling back to default profiles: default
2021-04-27 09:45:18,022 INFO  [main] o.s.s.c.ThreadPoolTaskExecutor.(): Initializing ExecutorService 'applicationTaskExecutor'
2021-04-27 09:45:18,463 INFO  [main] o.e.t.CircularReferenceTest.(): Started CircularReferenceTest in 2.99 seconds (JVM running for 7.268)
2021-04-27 09:45:19,216 INFO  [SpringContextShutdownHook] o.s.s.c.ThreadPoolTaskExecutor.(): Shutting down ExecutorService 'applicationTaskExecutor'
